bhk,type,area,price,status,age,latitude,longitude
1,0.2,605,0.265,0,1.0,18.7987175,73.3327179
1,0.2,555,0.24,0,1.0,18.7987175,73.3327179
1,0.2,555,0.24,0,1.0,18.7987175,73.3327179
1,0.2,665,0.295,0,1.0,18.7987175,73.3327179
1,0.2,665,0.295,0,1.0,18.7987175,73.3327179
1,0.2,615,0.27,0,1.0,18.7987175,73.3327179
1,0.2,615,0.27,0,1.0,18.7987175,73.3327179
2,0.2,975,0.43,0,1.0,18.7987175,73.3327179
2,0.2,975,0.43,0,1.0,18.7987175,73.3327179
1,0.2,535,0.22,0,1.0,18.7987175,73.3327179
1,0.2,535,0.22,0,1.0,18.7987175,73.3327179
1,0.2,545,0.235,0,1.0,18.7987175,73.3327179
1,0.2,545,0.235,0,1.0,18.7987175,73.3327179
2,0.2,930,0.41,0,1.0,18.7987175,73.3327179
2,0.2,930,0.41,0,1.0,18.7987175,73.3327179
1,0.2,565,0.245,0,1.0,18.7987175,73.3327179
1,0.2,565,0.245,0,1.0,18.7987175,73.3327179
2,0.2,543,1.28,0,1.0,19.05169619,72.87250927
2,0.2,543,1.28,0,1.0,19.05169619,72.87250927
2,0.2,859,2.02,0,1.0,19.05169619,72.87250927
2,0.2,859,2.02,0,1.0,19.05169619,72.87250927
2,0.2,590,1.39,0,1.0,19.05169619,72.87250927
2,0.2,590,1.39,0,1.0,19.05169619,72.87250927
1,0.2,430,1.01,0,1.0,19.05169619,72.87250927
1,0.2,430,1.01,0,1.0,19.05169619,72.87250927
2,0.2,705,1.66,0,1.0,19.05169619,72.87250927
2,0.2,705,1.66,0,1.0,19.05169619,72.87250927
1,0.2,421,0.99,0,1.0,19.05169619,72.87250927
1,0.2,421,0.99,0,1.0,19.05169619,72.87250927
2,0.2,610,1.56,0,1.0,19.14750481,72.84277344
2,0.2,610,1.56,0,1.0,19.14750481,72.84277344
2,0.2,708,0.7462000000000001,0,1.0,19.43065643,72.96487427
2,0.2,691,0.7281,0,1.0,19.43065643,72.96487427
2,0.2,829,0.8721,0,1.0,19.43065643,72.96487427
2,0.2,680,0.7101000000000001,0,1.0,19.43065643,72.96487427
2,0.2,695,0.7321,0,1.0,19.43065643,72.96487427
2,0.2,749,0.7989,0,1.0,19.43065643,72.96487427
3,0.2,1014,1.06,0,1.0,19.43065643,72.96487427
1,0.2,461,0.38,0,1.0,18.96904755,72.82118225
1,0.2,461,0.38,0,1.0,18.96904755,72.82118225
2,0.2,608,0.46,0,1.0,18.96904755,72.82118225
2,0.2,608,0.46,0,1.0,18.96904755,72.82118225
1,0.2,431,1.35,0,1.0,19.1174647,72.9091113
1,0.2,431,1.35,0,1.0,19.1174647,72.9091113
1,0.2,454,0.63,0,1.0,19.02627373,73.09680939
